id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
2557	4	0	0	0	0	0	0	0	0	0	0	0	0
2558	4	0	0	0	0	0	0	0	0	0	0	0	0
2559	4	0	0	0	0	0	0	0	0	0	0	0	0
2560	4	0	0	0	0	0	0	0	0	0	0	0	0
2561	4	0	0	0	0	0	0	0	0	0	0	0	0
2562	4	1	0	0	0	0	0	0	0	0	0	0	0
2563	4	1	0	0	0	0	0	0	0	0	0	0	0
2564	4	1	0	0	0	0	0	0	0	0	0	0	0
2565	4	0	0	0	0	0	0	0	0	0	0	0	0
2566	2	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2567	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2568	4	1	0	0	0	0	0	0	0	0	0	1	0
2569	4	1	0	0	0	0	0	0	0	1	0	0	0
2570	4	1	0	0	0	0	0	0	0	0	0	0	0
2571	4	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2572	2	0	0	0	0	0	0	0	0	0	0	0	0
2573	4	0	0	0	0	0	0	0	0	0	0	0	0
2574	4	0	0	0	0	0	0	0	0	0	0	0	0
2575	4	1	0	0	0	0	0	0	0	1	0	0	0
2576	4	0	0	0	0	0	0	0	0	0	0	0	0
2577	4	0	0	0	0	0	0	0	0	0	0	0	0
2578	4	0	0	0	0	0	0	0	0	0	0	0	0
2579	4	1	0	0	0	0	0	0	0	1	0	0	0
2580	4	1	0	0	0	0	0	0	0	0	0	0	0
2581	4	1	0	0	0	0	0	0	0	0	0	0	0
2582	4	0	0	0	0	0	0	0	1	0	0	0	0
2583	4	1	0	0	0	0	1	0	0	0	0	0	0
2584	4	1	0	0	0	0	0	0	0	0	0	0	0
2585	4	0	0	0	0	0	0	0	0	0	0	0	0
2586	4	1	0	0	0	0	0	0	0	1	0	0	0
2587	4	1	0	0	0	0	0	0	0	0	0	0	0
2588	4	0	0	0	0	0	0	0	0	0	0	0	0
2589	4	1	0	0	0	0	0	0	0	0	0	0	0
2590	4	0	0	0	0	0	0	0	0	0	0	0	0
2591	4	1	0	0	0	0	0	0	0	0	0	0	0
2592	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2593	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2594	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2595	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2596	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2597	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2598	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2599	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2600	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2601	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2602	4	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2603	4	1	0	0	0	0	0	0	0	1	0	1	0
2604	4	0	0	0	0	0	0	0	0	0	0	1	0
2605	4	0	0	0	0	0	0	0	0	0	0	1	0
2606	4	1	0	0	0	0	0	0	0	1	0	0	0
2607	2	0	0	0	0	0	0	0	0	0	0	0	0
2608	4	1	0	0	0	0	0	0	0	1	0	0	0
2609	4	0	0	0	0	0	0	0	0	0	0	0	0
2610	2	0	0	0	0	0	0	0	0	0	0	0	0
2611	2	0	0	0	0	0	0	0	0	0	0	0	0
2612	2	0	0	0	0	0	0	0	0	0	0	0	0
2613	2	0	0	0	0	0	0	0	0	0	0	0	0
2614	4	0	0	0	0	0	0	0	1	0	0	0	0
2615	4	1	0	0	0	0	0	0	0	0	0	0	0
2616	4	0	0	0	0	0	0	0	0	0	0	0	0
2617	4	1	0	0	0	0	0	0	0	0	0	0	0
2618	4	1	0	0	0	0	0	0	0	0	0	0	0
2619	4	0	0	0	0	0	0	0	0	0	0	0	0
2620	4	1	0	0	0	0	0	0	0	1	0	0	0
2621	4	1	0	0	0	0	0	0	0	0	0	0	0
2622	4	1	0	0	0	0	0	0	0	1	0	0	0
2623	4	0	0	0	0	0	0	0	0	0	0	0	0
2624	4	0	0	0	0	0	0	0	0	0	0	0	0
2625	4	0	0	0	0	0	0	0	0	0	0	0	0
2626	4	0	0	0	0	0	0	0	0	0	0	0	0
2627	4	1	0	0	0	0	0	0	0	1	0	0	0
2628	4	1	0	0	0	0	0	0	0	0	0	0	0
2629	2	0	0	0	0	0	0	0	0	0	1	0	0
2630	4	0	0	0	0	0	0	0	0	0	0	0	0
2631	4	0	0	0	0	0	0	0	0	0	0	0	0
2632	4	1	0	0	0	0	0	0	0	0	0	0	0
2633	4	0	0	0	0	0	0	0	0	0	0	0	0
2634	4	1	0	0	0	0	0	0	0	0	0	0	0
2635	2	0	0	0	0	0	0	0	0	0	0	0	0
2636	2	0	0	0	0	0	0	0	0	0	0	0	0
2637	4	1	0	0	0	0	0	0	0	0	0	0	0
2638	4	0	0	0	0	0	0	0	0	0	0	0	0
2639	4	1	0	0	0	0	0	0	0	0	0	0	0
2640	4	0	0	0	0	0	0	0	0	0	0	0	0
2641	4	0	0	0	0	0	0	0	0	0	0	0	0
2642	4	0	0	0	0	0	0	0	0	0	0	0	0
2643	4	0	0	0	0	0	0	0	0	0	0	0	0
2644	4	1	0	0	0	0	0	0	0	0	0	1	0
2645	4	1	0	0	0	0	0	0	0	0	0	0	0
2646	4	0	0	0	0	0	0	0	0	0	0	0	0
2647	4	0	0	0	0	0	0	0	0	0	0	0	0
2648	4	0	0	0	0	0	0	0	0	0	0	0	0
2649	4	1	0	0	0	0	0	0	0	0	0	0	0
2650	4	1	0	0	0	0	0	0	0	0	0	0	0
2651	4	0	0	0	0	0	0	0	0	0	0	0	0
2652	4	0	0	0	0	0	0	0	0	0	0	0	0
2653	4	0	0	0	0	0	0	0	0	0	0	0	0
2654	4	1	0	0	0	0	0	0	0	0	0	0	0
2655	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2656	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2657	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2658	4	1	0	0	0	0	0	0	0	0	0	0	0
2659	4	0	0	0	0	0	0	0	0	0	0	0	0
2660	4	0	0	0	0	0	0	0	0	0	0	0	0
2661	4	1	0	0	0	0	0	0	1	0	0	0	0
2662	4	1	0	0	0	0	0	0	0	0	0	0	0
2663	4	1	0	0	0	0	0	0	0	0	0	0	0
2664	4	0	0	0	0	0	0	0	0	0	0	0	0
2665	4	0	0	0	0	0	0	0	0	0	0	0	0
2666	4	0	0	0	0	0	0	0	0	0	0	0	0
2667	4	1	0	0	0	0	0	0	0	1	0	0	0
2668	4	0	0	0	0	0	0	0	0	0	0	0	0
2669	4	1	0	0	0	0	0	0	0	1	0	0	0
2670	2	0	0	0	0	0	0	0	0	0	0	0	0
2671	2	1	0	0	0	0	0	0	0	0	1	0	0
2672	4	1	0	0	0	0	0	0	0	0	1	0	0
2673	4	0	0	0	0	0	0	0	0	0	0	0	0
2674	2	0	0	0	0	0	0	0	0	0	1	0	0
2675	4	0	0	0	0	0	0	0	0	0	0	0	0
2676	4	0	0	0	0	0	0	0	0	0	1	1	1
2677	4	0	0	0	0	0	0	0	0	0	1	0	0
2678	2	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2679	2	0	0	0	0	0	0	0	0	0	0	0	0
2680	2	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2681	2	0	0	0	0	0	0	0	0	0	0	0	0
2682	3	0	0	0	1	0	0	0	0	0	0	0	0
2683	3	0	0	0	1	0	0	0	0	0	0	0	0
2684	4	0	0	0	1	0	0	0	1	0	0	0	0
2685	4	0	0	0	1	0	0	0	0	0	0	0	0
2686	4	0	0	0	1	0	0	0	0	0	0	0	0
2687	4	0	0	0	1	0	0	0	0	0	0	0	0
2688	4	0	0	0	1	0	0	0	0	0	0	0	0
2689	4	1	1	0	0	0	0	0	0	0	0	0	0
2690	4	0	0	0	1	0	0	0	0	0	0	0	0
2691	4	1	1	0	0	0	0	0	0	0	0	0	0
2692	2	0	0	1	0	0	0	0	0	0	0	0	0
2693	4	1	0	0	0	0	0	0	0	0	0	0	0
2694	4	0	0	0	0	0	0	0	0	0	0	0	0
2695	4	0	0	0	0	0	0	0	0	0	0	0	0
2696	4	0	0	0	0	0	0	0	0	0	0	0	0
2697	4	0	0	0	0	0	0	0	0	0	0	1	0
2698	4	0	0	0	0	0	0	0	0	0	0	0	0
2699	4	1	0	0	0	0	0	0	0	0	0	0	0
2700	NA	0	0	0	0	0	0	0	0	0	0	0	0
2701	4	0	0	0	0	0	0	0	0	0	0	0	0
2702	4	1	0	0	0	0	0	0	0	0	1	1	0
